# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	379685
#@/user_id	hotoo.rmbp
ba dao 	霸道	c=2 d=1.0444e-158 t=379685
ba dian 	八點	c=1 d=1.7532e-252 t=379685
ba diao 	八調	c=1 d=8.03735e-142 t=379685
ba diao 	拔掉	c=2 d=1.38747e-88 t=379685
ba er 	八二	c=1 d=0 t=379685
ba fa 	拔髮	c=1 d=0 t=379685
ba fang 	八方	c=3 d=1.03144e-63 t=379685
ba fang ni 	八方你	c=2 d=4.56137e-119 t=379685
ba fei te 	巴菲特	c=1 d=1 t=106003
ba fen 	八分	c=0 d=3.99694e-301 t=379685
ba fen bao 	八分飽	c=1 d=4.01697e-300 t=379685
ba gen 	拔根	c=29 d=1 t=379489
ba gong 	八公	c=3 d=5.79214e-08 t=379685
ba gua 	八卦	c=3 d=2.37723e-120 t=379685
ba he 	八核	c=1 d=1 t=95045
ba jiao 	八角	c=1 d=2.0216e-222 t=379685
ba jin zhi 	八進制	c=1 d=1 t=55804
ba kong 	把控	c=4 d=1 t=73946
ba la 	巴拉	c=1 d=1.52658e-66 t=379685
ba la ba la 	巴拉巴拉	c=6 d=1.53423e-65 t=379685
ba lai 	巴萊	c=1 d=0 t=379685
ba le 	罷了	c=1 d=1 t=54699
ba li 	巴黎	c=1 d=1.53816e-96 t=379685
ba li dao 	巴厘島	c=5 d=0 t=379685
ba li sheng mu yuan 	巴黎聖母院	c=1 d=1 t=63303
ba ma 	爸媽	c=48 d=2.19244e-29 t=379685
ba na ma 	巴拿馬	c=1 d=9.09816e-183 t=379685
ba qi 	霸氣	c=3 d=1.19959e-82 t=379685
ba san 	八三	c=2 d=0 t=379685
ba shou 	把手	c=1 d=0 t=379685
ba si 	巴思	c=1 d=6.24269e-281 t=379685
ba si 	巴斯	c=0 d=0.1 t=49626
ba si te 	巴斯特	c=1 d=1 t=49627
ba sui 	八歲	c=1 d=0 t=379685
ba tai 	吧檯	c=3 d=0 t=379685
ba wang 	霸王	c=1 d=1.57131e-141 t=379685
ba wang hua 	霸王花	c=1 d=1 t=42584
ba wo 	把握	c=2 d=3.25185e-79 t=379685
ba yi 	八一	c=2 d=2.46413e-51 t=379685
ba yuan di 	八源地	c=1 d=1 t=30369
ba yue 	八月	c=3 d=6.57361e-36 t=379685
ba zhan 	霸佔	c=2 d=0 t=379685
ba zhang 	巴掌	c=1 d=1 t=66394
ba zi 	八字	c=1 d=1.05379e-175 t=379685
bai 	拜	c=1 d=2.00039e-98 t=379685
bai 	擺	c=2 d=1 t=102376
bai 	敗	c=3 d=1.83182e-33 t=379685
